time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,25,6,0,0
2026-04-17 00:00:00+00:00,20,5,0,0
2026-04-18 00:00:00+00:00,38,12,0,0
2026-04-19 00:00:00+00:00,25,9,0,0
2026-04-20 00:00:00+00:00,50,19,0,0
2026-04-21 00:00:00+00:00,42,19,0,0
2026-04-22 00:00:00+00:00,76,25,0,0
2026-04-23 00:00:00+00:00,120,33,0,0
2026-04-24 00:00:00+00:00,100,34,0,0
2026-04-25 00:00:00+00:00,60,22,0,0
2026-04-26 00:00:00+00:00,28,6,0,0
2026-04-27 00:00:00+00:00,15,5,0,0
2026-04-28 00:00:00+00:00,31,9,0,0
2026-04-29 00:00:00+00:00,17,5,0,0
